taxon,evc.class.code
Alchemilla flavicoma,HER
Alchemilla flavovirens,SES
Alchemilla flexicaulis,MOL
Alchemilla florulenta,SES
Alchemilla frigens,HER
Alchemilla gaillardiana,SES
Alchemilla galkinae,HER
Alchemilla gemmia,HER
Alchemilla gingolphiana,FES
Alchemilla glabra,ART+MUL
Alchemilla glacialis,SES
Alchemilla glaucescens,MOL+NAR
Alchemilla glomerulans,HER+MON
Alchemilla grossidens,SES
Alchemilla helvetica,HER
Alchemilla heteropoda,MOL
Alchemilla hirtipes,MOL
Alchemilla hoppeana,SES
Alchemilla hybrida,TRI
Alchemilla ilerdensis,MUL
Alchemilla impexa,MOL
Alchemilla incisa,MUL+THL
Alchemilla inconcinna,MOL
Alchemilla indivisa,MUL
Alchemilla infravallesia,MUL
Alchemilla ischnocarpa,MUL
Alchemilla jaquetiana,SES
Alchemilla jugensis,SES
Alchemilla lasenii,HER
Alchemilla leptoclada,SES
Alchemilla leutei,MON
Alchemilla lineata,MUL
Alchemilla longana,HER
Alchemilla longinodis,FES
Alchemilla longiuscula,MON
Alchemilla lucida,TRI
Alchemilla lunaria,MUL
Alchemilla macrochira,ASP
Alchemilla matreiensis,TRI
Alchemilla maureri,MUL
Alchemilla micans,MOL
Alchemilla mollis,MOL+MON
Alchemilla monticola,MOL
Alchemilla multidens,MOL
Alchemilla murisserica,SES
Alchemilla nietofelineri,ASP
Alchemilla niphogeton,HER
Alchemilla nitida,SES
Alchemilla norica,MON
Alchemilla nydeggeriana,MOL
Alchemilla obscura,MOL
Alchemilla obtusa,MOL
Alchemilla opaca,TRI
Alchemilla othmarii,MUL
Alchemilla paicheana,SES
Alchemilla pallens,SES
Alchemilla pentaphyllea,HER
Alchemilla pentaphylloides,HER
Alchemilla petiolulans,SES
Alchemilla petraea,SES
Alchemilla philonotis,MON
Alchemilla platygyria,SES
Alchemilla plicata,MOL
Alchemilla propinqua,MOL
Alchemilla racemulosa,MOL
Alchemilla radiisecta,TRI
Alchemilla reniformis,MOL
Alchemilla rhododendrophila,LOI
Alchemilla rubristipula,MOL
Alchemilla sabauda,SES
Alchemilla saliceti,VIR
Alchemilla saxatilis,NAR+TRI
Alchemilla saxetana,TRI
Alchemilla schmidelyana,MOL
Alchemilla semihirta,SES
Alchemilla semisecta,HER
Alchemilla sericoneura,MOL
Alchemilla serratisaxatilis,ASP
Alchemilla sierrae,SES
Alchemilla sinuata,MOL
Alchemilla spathulata,ASP
Alchemilla speciosa,MUL
Alchemilla splendens,SES
Alchemilla squarrosula,SES
Alchemilla stiriaca,MUL
Alchemilla straminea,MON
Alchemilla strigosula,MOL
Alchemilla subcrenata,MOL+MUL
Alchemilla subglobosa,MOL
Alchemilla subsericea,HER+LOI
Alchemilla tenerrima,ASP
Alchemilla tenuis,MOL
Alchemilla tirolensis,MOL
Alchemilla transiens,LOI+TRI
Alchemilla trullata,HER
Alchemilla trunciloba,VIR
Alchemilla undulata,MOL
Alchemilla vaccariana,ASP
Alchemilla velebitica,SES
Alchemilla venosula,SES
Alchemilla versipila,MUL
Alchemilla vetteri,SES
Alchemilla westermaieri,SES
Alchemilla wichurae,NAR
Alchemilla xanthochlora,MOL
Aldrovanda vesiculosa,LIT
Alectoria ochroleuca,COC+LOI
Alhagi maurorum,LER+TAM
Alisma gramineum,PHR
Alisma lanceolatum,PHR
Alisma plantago-aquatica,PHR
Alkanna stribrnyi,LAV
Alkanna tinctoria,COR
Alkekengi officinarum,EPI+ROB
Allagopappus canariensis,AEO+KLE
Alliaria petiolata,EPI+FAG+POP
Allium acutiflorum,TRA
Allium angulosum,MOL
Allium antonii-bolosii,POD
Allium atropurpureum,FES
Allium baeticum,LYG
Allium bourgeaui,ASP
Allium bulgaricum,FAG
Allium carinatum subsp. carinatum,FES
Allium carinatum subsp. pulchellum,FES
Allium chamaemoly subsp. chamaemoly,LYG+TRA
Allium chamaemoly subsp. longicaulis,LYG
Allium chrysonemum,ROS
Allium circinnatum,TRA
Allium commutatum,CRI
Allium cornutum,CRI
Allium cupanii,RUM
Allium cyprium,CYP
Allium cyrilli,PUB
Allium denudatum,FES+SED
Allium dodecanesi,ROS
Allium ericetorum,ULI
Allium erubescens,DRY
Allium flavum subsp. flavum,FES
Allium flavum subsp. tauricum,FES+SED
Allium frigidum,DAP
Allium fuscum,FES
Allium grosii,ASP
Allium guttatum subsp. guttatum,COR+SAC
Allium guttatum subsp. sardoum,SAC
Allium hirtovaginum,TRA
Allium horvatii,CRI
Allium insubricum,SES
Allium kermesinum,SES
Allium lineare,FES+SED
Allium lojaconoi,CRI
Allium lopadusanum,TRA
Allium lusitanicum,FES+ONO+SED
Allium massaessylum,QUE
Allium melananthum,LYG
Allium moly,ONO
Allium moschatum,FES+LYG
Allium narcissiflorum,THL
Allium neapolitanum,EPI
Allium nebrodense,RUM
Allium nigrum,CHE
Allium obliquum,FES
Allium oleraceum,FES+GER
Allium palentinum,THL
Allium pallens,LYG
Allium paniculatum,FES
Allium paradoxum,EPI
Allium parciflorum,ASP
Allium pendulinum,FAG
Allium pervestitum,FEP+FES
Allium podolicum,SED
Allium polyanthum,CHE
Allium regelianum,FEP+MOL
Allium roseum,FES
Allium rotundum,FES
Allium rubens,FES
Allium rubrovittatum,TRA
Allium saxatile,ASP+FES
Allium scaberrimum,CHE
Allium schoenoprasum subsp. gredense,TRI
Allium schoenoprasum subsp. latiorifolium,TRI
Allium schoenoprasum subsp. schoenoprasum,MOL+SCH
Allium scorodoprasum,ART
Allium scorzonerifolium,LAV
Allium siculum subsp. dioscoridis,PUB
Allium sphaerocephalon,FES+ONO+SED
Allium staticiforme,CRI
Allium strictum,FES
Allium suaveolens,MOL
Allium subhirsutum,PUB
