Code,Name,Status,Class,Family
MUL,Adenostyles alpina subsp. pyrenaica,,Eudicot,Asteraceae
MUL,Adenostyles leucophylla* ,,Eudicot,Asteraceae
THL,Adenostyles leucophylla* ,,Eudicot,Asteraceae
ADI,Adiantum capillus-veneris ,,Fern,Adiantaceae
ADI,Adiantum raddianum,A,Fern,Adiantaceae
ASP,Adiantum reniforme var. pusillum,,Fern,Adiantaceae
ADI,Adiantum reniforme var. reniforme*,,Fern,Adiantaceae
ASP,Adiantum reniforme var. reniforme*,,Fern,Adiantaceae
PAR,Adonis aestivalis subsp. aestivalis,,Eudicot,Ranunculaceae
PAR,Adonis aestivalis subsp. squarrosa,,Eudicot,Ranunculaceae
PAR,Adonis annua subsp. annua ,,Eudicot,Ranunculaceae
PAR,Adonis annua subsp. cupaniana  ,,Eudicot,Ranunculaceae
THL,Adonis distorta ,,Eudicot,Ranunculaceae
PAR,Adonis flammula ,,Eudicot,Ranunculaceae
PAR,Adonis microcarpa ,,Eudicot,Ranunculaceae
SES,Adonis pyrenaica*,,Eudicot,Ranunculaceae
THL,Adonis pyrenaica*,,Eudicot,Ranunculaceae
FES,Adonis vernalis,,Eudicot,Ranunculaceae
FES,Adonis volgensis ,,Eudicot,Ranunculaceae
ASA,Adoxa moschatellina* ,,Eudicot,Adoxaceae
FAG,Adoxa moschatellina* ,,Eudicot,Adoxaceae
TRA,Aegilops caudata,,Monocotyl,Poaceae
CHE,Aegilops cylindrica ,A,Monocotyl,Poaceae
CHE,Aegilops geniculata,,Monocotyl,Poaceae
CHE,Aegilops neglecta,,Monocotyl,Poaceae
CHE,Aegilops triuncialis,,Monocotyl,Poaceae
CHE,Aegilops ventricosa,,Monocotyl,Poaceae
EPI,Aegopodium podagraria*,,Eudicot,Apiaceae
POP,Aegopodium podagraria*,,Eudicot,Apiaceae
ROB,Aegopodium podagraria*,,Eudicot,Apiaceae
KAL,Aeluropus lagopoides,,Monocotyl,Poaceae
AEL,Aeluropus littoralis*,,Monocotyl,Poaceae
TAM,Aeluropus littoralis*,,Monocotyl,Poaceae
FEP,Aeluropus littoralis* ,,Monocotyl,Poaceae
KAL,Aeluropus littoralis* ,,Monocotyl,Poaceae
AEO,Aeonium aizoon ,,Eudicot,Crassulaceae
KLE,Aeonium arboreum var. arboreum,,Eudicot,Crassulaceae
AEO,Aeonium arboreum var. holochrysum*,,Eudicot,Crassulaceae
KLE,Aeonium arboreum var. holochrysum*,,Eudicot,Crassulaceae
AEO,Aeonium arboreum var. rubrolineatum,,Eudicot,Crassulaceae
AEO,Aeonium aureum ,,Eudicot,Crassulaceae
AEO,Aeonium balsamiferum ,,Eudicot,Crassulaceae
AEO,Aeonium canariense var. canariense,,Eudicot,Crassulaceae
AEO,Aeonium canariense var. palmense,,Eudicot,Crassulaceae
AEO,Aeonium canariense var. subplanum,,Eudicot,Crassulaceae
AEO,Aeonium canariense var. virgineum,,Eudicot,Crassulaceae
AEO,Aeonium castello-paivae,,Eudicot,Crassulaceae
AEO,Aeonium ciliatum ,,Eudicot,Crassulaceae
AEO,Aeonium cuneatum ,,Eudicot,Crassulaceae
AEO,Aeonium davidbramwellii ,,Eudicot,Crassulaceae
AEO,Aeonium decorum ,,Eudicot,Crassulaceae
AEO,Aeonium diplocyclum ,,Eudicot,Crassulaceae
AEO,Aeonium dodrantale ,,Eudicot,Crassulaceae
AEO,Aeonium glandulosum ,,Eudicot,Crassulaceae
AEO,Aeonium glutinosum ,,Eudicot,Crassulaceae
AEO,Aeonium gomerense ,,Eudicot,Crassulaceae
AEO,Aeonium goochiae ,,Eudicot,Crassulaceae
AEO,Aeonium haworthii ,,Eudicot,Crassulaceae
AEO,Aeonium hierrense ,,Eudicot,Crassulaceae
KLE,Aeonium lancerottense,,Eudicot,Crassulaceae
AEO,Aeonium lindleyi var. lindleyi,,Eudicot,Crassulaceae
AEO,Aeonium lindleyi var. viscatum,,Eudicot,Crassulaceae
AEO,Aeonium nobile ,,Eudicot,Crassulaceae
AEO,Aeonium percarneum*,,Eudicot,Crassulaceae
KLE,Aeonium percarneum*,,Eudicot,Crassulaceae
AEO,Aeonium saundersii,,Eudicot,Crassulaceae
AEO,Aeonium sedifolium ,,Eudicot,Crassulaceae
AEO,Aeonium simsii ,,Eudicot,Crassulaceae
AEO,Aeonium smithii ,,Eudicot,Crassulaceae
AEO,Aeonium spathulatum ,,Eudicot,Crassulaceae
AEO,Aeonium tabuliforme ,,Eudicot,Crassulaceae
AEO,Aeonium undulatum ,,Eudicot,Crassulaceae
AEO,Aeonium urbicum ,,Eudicot,Crassulaceae
AEO,Aeonium valverdense ,,Eudicot,Crassulaceae
AEO,Aeonium X burchardii,,Eudicot,Crassulaceae
AEO,Aeonium X mascaense ,,Eudicot,Crassulaceae
AEO,Aeonium X rowleyi ,,Eudicot,Crassulaceae
PUB,Aesculus hippocastanum ,,Eudicot,Sapindaceae
THL,Aethionema saxatile subsp. graecum ,,Eudicot,Brassicaceae
ONO,Aethionema saxatile subsp. ovalifolium*,,Eudicot,Brassicaceae
THL,Aethionema saxatile subsp. ovalifolium*,,Eudicot,Brassicaceae
SED,Aethionema saxatile subsp. saxatile* ,,Eudicot,Brassicaceae
THL,Aethionema saxatile subsp. saxatile* ,,Eudicot,Brassicaceae
THL,Aethionema thomasianum ,,Eudicot,Brassicaceae
PAR,Aethusa cynapium subsp. cynapium ,,Eudicot,Apiaceae
EPI,Aethusa cynapium subsp. elata,,Eudicot,Apiaceae
EPI,Ageratina adenophora,A,Eudicot,Asteraceae
LAU,Ageratina riparia,,Eudicot,Asteraceae
GER,Agrimonia eupatoria ,,Eudicot,Rosaceae
BRA,Agrimonia pilosa* ,,Eudicot,Rosaceae
GER,Agrimonia pilosa* ,,Eudicot,Rosaceae
GER,Agrimonia procera ,,Eudicot,Rosaceae
GER,Agrimonia repens ,,Eudicot,Rosaceae
