taxon;rl;a;b;r;rl.al;rl.bm;rl.nv;rl.sv;rl.pa;o.v;o.nt;o.ot;o.s;o.k;o.st;o.o;o.n;o.w;o.b;responsibility;distribution;lifeform
Rubus solvensis;LC;2;0;0;●;;;●;;;;;;●;●;;;;?;;Eur;B
Rubus stimulifer;LC;2;?;0;●;VU;●;;●;;;;;●;;●;●;;●;;Eur;B
Rubus styriacus;LC;3;0;0;●;;;●;●;;;;;●;●;;●;;●;S;Eur;B
Rubus suevicola;LC;1;?;0;●;;;;;●;;;;●;;;;;;;Eur;B
Rubus sulcatus;LC;3;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;B
Rubus sylvulicola;LC;2;0;0;VU;;●;;;;●;;●;;;●;;;;;Eur;B
Rubus tabanimontanus;G;1;?;?;;●;;;●;;;;;;;–;●;;●;;Eur;B
Rubus vatavensis;LC;2;?;0;G;●;●;;;;;;;;;●;;;;;Eur;B
Rubus velutinus;LC;3;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;B
Rubus venosus;LC;2;0;0;;;;●;;;;;;;●;;;;–;;Eur;B
Rubus vestitus;LC;2;0;0;●;G;●;●;;●;;;●;●;●;●;●;●;–;;Eur (Kosm);B
Rubus villarsianus;RE?;†?;†?;†?;RE?;;;;;†?;†?;;;;;;;;–;;Eur;B
Rubus viridilucidus;CR;1;?;-1;;;●*;;;;;;;;;●*;;;;;Eur;B
Rubus weizensis;LC;2;0;0;G;;;●;;;;;;;●;–;;;●;S;Eur;B
Rubus widderi;VU;1;0;-1;●;;;●;;;;;;;●;;;;;E;ZE-Alp*!;B
Rubus wimmerianus;LC;2;0;0;●;●;;;●;;;;;;;;●;●;–;;Eur;B
Rudbeckia fulgida;n;;;;;;;;;u;le;;u;u;u;u;u;u;;;;S
Rudbeckia hirta;n;;;;;;;;;e?;u;u;e?;e?;e?;e?;e?;u;u;;;S
Rudbeckia laciniata;n;;;;;;;;;e;le;u;u;e;e;e;e;e;e;;;S
Rumex acetosa;LC;5;-1;-1;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Rumex acetosella subsp. acetosella;LC;4;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Rumex acetosella subsp. acetoselloides;VU;2;-1;-1;;●;;;●;;;;;;u;;●;●;;;Eur;S
Rumex acetosella subsp. pyrenaicus;DD;?;?;?;●;●;●;●;●;u;●;;;u;●;●;●;●;●;;Hol;S
Rumex alpinus;LC;5;0;0;●;EN;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Rumex aquaticus;VU;3;-2;-1;●;EN;CR;RE;RE?;;†?*;●;●;●;●;●;●;†;;;Hol;S
Rumex arifolius;LC;4;0;0;●;CR;f;;;●;●;●;●;●;●;●;●;;;;Euras;S
Rumex conglomeratus;LC;4;0;-1;VU;VU;●;●;●;●;●;;●;●;●;●;●;●;●;;Euras (Kosm);S
Rumex crispus;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Rumex hydrolapathum;VU;3;-2;-1;EN;●;●;;●;†;–;–;●;●;;●;●;●;●;;Eur;S
Rumex kerneri;n;;;;;;;;;;;;;le?;u;le?;le?;u;u;;;S
Rumex longifolius;n;;;;;;;;;;e;u;u;;u;u;;;;;;S
Rumex maritimus;VU;3;-2;-1;n;●;EN;CR;●;u;u;;u;e;●;●;●;●;●;;Kosm;H
Rumex nivalis;LC;2;0;0;●;;;;;●;●;;●;;●;●;;;;;Eur;S
Rumex obtusifolius subsp. obtusifolius;LC;5;1;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Kosm;S
Rumex obtusifolius subsp. sylvestris;LC;5;1;0;●;●;●;●;●;●;●;;●;●;●;●;●;●;●;;Euras;S
Rumex obtusifolius subsp. transiens;DD;?;?;?;●;;●;●;●;;●;;●;;●;●;●;●;●;;Eur;S
Rumex palustris;VU;2;-1;-1;n;EN;CR;;●;u;u;;u;;;●;●;●;●;;Eur;H
Rumex patientia;LC;2;1;1;n;;n;;●;u;u;u;u;u;u;u;●;●;●;;Eur (Hol);S
Rumex pseudonatronatus;EN;1;-1;-1;;;;;●;;;;;;;;●;;●*;D;Euras (Hol);S
Rumex sanguineus;LC;4;0;0;●;●;●;●;●;●;le;u;●;?;●;●;●;●;●;;Eur (Hol);S
Rumex scutatus;LC;4;0;0;●;n;EN;;n;●;●;●;●;●;●;●;●;●;le;;Eur;S
Rumex stenophyllus;VU;2;-1;-1;;;;n;●;;;;;u;u;;●;●;●;;Euras (Hol);S
Rumex thyrsiflorus;n;;;;;;;;;;u;u;u;e;e;e;e;e;e;;;S
Ruscus hypoglossum;CR;1;-2;-2;●;;;;RE;;;;;;;†*;●;u?;†;;Eur;S
Sabulina austriaca;LC;3;0;0;●;;;;;;●;●;●;●;●;●;●;;;;E-Alp;S
Sabulina gerardii;LC;4;0;0;●;;f;;;●;●;●;●;●;●;●;●;;;;E-Alp;S
Sabulina glaucina;VU;2;-1;-1;EN;;;;●;;;;;●;●;–;●;●;●;;Eur;S
Sabulina tenuifolia;n;;;;;;;;;u;;;le;;;u;u;;;;;H
Sabulina viscosa;RE?;†?;†?;†?;RE;;;;RE?,n;;;;;;;;†?;u;†?;;Eur;H
Sagina apetala s.str.;VU;2;-1;0;n;CR;●;RE?;●;;u;;u;;†?;●;●;●;●;;Eur (Kosm);H
Sagina micropetala;G;2;?;?;●;●;●;;●;;;;u;;●;●;●;●;u;;Eur;H
Sagina nodosa;VU;2;-1;-1;●;CR;CR;;f,n;u;†,u;–;●;?;●;†;●;u;;;Hol;S
Sagina procumbens;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Kosm;S
Sagina saginoides;LC;4;0;0;●;CR;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Sagina subulata;CR;1;-2;-1;RE?,n;n;n;●;●;;;;u;;u;u;●;u;●;;Eur;S
Sagittaria sagittifolia;EN;2;-1;-2;CR;CR;●;RE?;●;●;u;;u;u;●;●;●;●;●;;Euras (Kosm);S
Salicornia perennans;EN;2;-2;-2;;;;;●;;;;;;;;†;;●;V;Euras;H
Salix alba;LC;5;-1;-2;●;●;●;●;EN;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);B
Salix alpina;LC;3;0;0;●;;;;;;●;●;●;●;●;●;●;;;;Eur;B
Salix appendiculata s.str.;LC;5;0;0;●;;VU;?;;●;●;●;●;●;●;●;●;;;;Eur;B
Salix aurita;LC;4;-1;-1;●;●;VU;VU;EN;●;●;●;●;●;●;●;●;●;●;;Eur;B
Salix bicolor;VU;1;0;-1;●;;;;;–;;;●;●;;;;;;;Eur;B
Salix breviserrata;LC;3;0;0;●;;;;;●;●;●;●;●;?;–;;;;;Eur;B
Salix caesia;EN;1;-1;-1;●;;;;;●;●;●;;●;;;;;;;Euras;B
Salix caprea;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);B
Salix cinerea;LC;5;-1;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);B
Salix daphnoides;LC;4;-1;-1;●;EN;VU;EN;RE?;●;●;●;●;●;●;●;●;●;u?;;Eur;B
Salix eleagnos;LC;4;-1;-1;●;EN;NT;VU;EN;●;●;●;●;●;●;●;●;●;;;Eur;B
Salix foetida;LC;2;0;0;●;;;;;●;●;●;;;;;;;;;Eur;B
Salix fragilis s.str.;LC;4;-1;-1;●;●;●;NT;EN;●*;u?;●*;●;●;●;●;●;●;●;;Eur (Kosm);B
Salix glabra;LC;4;0;0;●;;;;;?;●;●;●;●;●;●;●;;;;Eur;B
Salix glaucosericea;VU;2;-1;-1;●;;;;;–;●;●;●;●;;;;;;;Alp;B
Salix hastata;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Euras;B
Salix hegetschweileri;LC;2;0;0;●;;;;;●;●;;;;;;;;;;Alp;B
Salix helvetica;LC;3;0;0;●;;;;;●;●;●;●;●;●;;;;;;Eur;B
Salix herbacea;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Salix laggeri;LC;1;0;0;●;;;;;;●;?;;;;;;;;;Alp;B
Salix mielichhoferi;LC;3;0;0;●;;;;;;●;●;●;●;●;●;;;;S;E-Alp;B
Salix myrsinifolia;LC;5;0;0;●;EN;NT;CR;CR;●;●;●;●;●;●;●;●;;;;Euras;B
Salix myrtilloides;EN;1;-1;-1;●;;;;;;;;●;;;–;;;;;Euras;B
Salix pentandra;EN;2;-2;-1;●;CR;;;CR;u;●;●;●;u;;●;●;;†?;;Euras (Hol);B
Salix purpurea;LC;5;-1;-1;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);B
Salix repens subsp. repens;VU;3;-2;-2;●;CR;EN;;;●;●;–;●;;●;●;;;;;Eur;B
Salix repens subsp. rosmarinifolia;VU;3;-2;-2;●;EN;EN;EN;EN;;●;●;●;●;●;●;●;●;●;;Eur;B
Salix reticulata;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Hol;S
Salix retusa s.str.;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;B
Salix serpyllifolia;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Alp;B
Salix triandra subsp. amygdalina;NT;3;-1;-1;●;G;●;G;VU;●;●;●;●;●;●;●;●;●;●;;Euras;B
Salix triandra subsp. triandra;VU;3;-2;-1;●;●;●;●;●;;?;;●;●;●;●;●;●;●;;Euras;B
Salix viminalis;VU;3;-2;-2;●;●;●;●;EN;u;u;u;●*;●;●;●;●;●;●;;Euras (Kosm);B
Salix waldsteiniana;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;B
Salix x rubens;LC;4;0;0;DD;DD;●;●;●;●*;●*;?;●;●;●;●;●;●;●;;Eur (Hol);B
Salsola tragus;LC;3;0;0;n;n;n;;●;;;;u;;;u;●;●;●;;Euras (Kosm);H
Salvia aethiopis;VU;2;-1;-1;;;;;●;;;;;;;;●;●;●;;Hol;S
Salvia austriaca;EN;2;-2;-1;;;n;n;●;;;;;;u;u;●;●;●;;Eur;S
Salvia glutinosa;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Salvia nemorosa;LC;4;-1;-1;NT;VU;RE,n;CR;●;u;u;u;u;e?;e;†,e;●;●;●;;Euras (Hol);S
Salvia pratensis;NT;5;-3;-2;●;VU;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Salvia verticillata;LC;5;-1;-1;●;●;NT;VU;NT;●*;●;u;●;●;●;●;●;●;●;;Eur (Hol);S
Salvinia natans;n;;;;;;;;;;u;;;u;;;–;le;;;;S
Sambucus ebulus;LC;5;1;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur;S
Sambucus nigra;LC;5;1;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);B
Sambucus racemosa;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur (Hol);B
Samolus valerandi;EN;2;-2;-1;;;;;●;;;;;;;;●;●;●;;Kosm;H
Sanguisorba minor subsp. balearica;NT;3;-1;-1;●;n;n;n;●;u;u;u;e;●*;●*;le;●;●;●;;Euras;S
Sanguisorba minor subsp. minor;LC;4;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Sanguisorba officinalis;NT;5;-3;-2;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Hol;S
Sanicula epipactis;LC;2;0;0;●;;n;;;;;;;●;u;le;;;;;Eur;S
Sanicula europaea;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Kosm;S
Saponaria ocymoides;LC;3;0;0;●;n;n;n;n;●;●;●;;●;u;u;u;u;u;;Eur;S
Saponaria officinalis;LC;4;1;0;●;●;●;●;●;u;e;●;●*;●;●;●;●;●;●;;Eur (Kosm);S
Saponaria pumila;LC;3;0;0;●;;;;;;;●;●;●;●;–;;;;S;Eur;S
Satureja hortensis;n;;;;;;;;;u;u;u;le?;u;u;le?;u;u;u;;;H
Saussurea alpina;LC;3;0;0;●;;;;;●;●;●;●;●;●;–;;;;;Euras;S
Saussurea discolor;LC;2;0;0;●;;;;;●;●;;;●;●;●;●;;;;Eur;S
Saussurea pygmaea;LC;2;0;0;●;;;;;;●;;●;●;●;●;●;;;;Eur;S
Saxifraga adscendens;LC;3;0;0;●;;;;;?;●;●;●;●;●;–;●;;;;Eur;H
Saxifraga aizoides;LC;4;0;0;●;RE;f;;;●;●;●;●;●;●;●;●;;;;Hol;S
Saxifraga androsacea;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Euras;S
Saxifraga aphylla;LC;3;0;0;●;;;;;●;●;●;●;–;●;●;●;;;S;E-Alp;S
Saxifraga aspera;LC;3;0;0;●;;;;;●;●;●;●;●;●;–;;;;;Eur;S
Saxifraga biflora;LC;2;0;0;●;;;;;●;●;●;●;●;;–;;;;;Alp;S
Saxifraga blepharophylla;LC;2;0;0;●;;;;;;;;●;●;●;;;;;E;ZE-Alp!;S
Saxifraga bryoides;LC;4;0;0;●;;;;;●;●;●;●;●;●;–;;;;;Eur;S
Saxifraga bulbifera;EN;2;-2;-1;●;●;;●;●;;;;–;;;–;●;●;●;;Eur;S
Saxifraga burseriana;LC;3;0;0;●;;;;;;●;●;●;●;●;●;●;;;;E-Alp;S
Saxifraga caesia;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Saxifraga carpatica;EN;1;0;-2;●;;;;;;;;;;●;;;;;D;Eur;S
Saxifraga cernua;VU;1;0;-1;●;;;;;;●;;;●;●;;;;;;Hol;S
Saxifraga cotyledon;VU;1;0;-1;●;;;;;●;●;;;;;;;;;;Eur;S
Saxifraga crustata;LC;2;0;0;●;;;;;;;●;;●;●;–;;;;;Eur;S
Saxifraga cuneifolia subsp. robusta;LC;3;0;0;●;;;;;●;●;●;●;●;;;;;;;Eur;S
Saxifraga exarata s.str.;LC;3;0;0;●;;;;;●;●;;;;;;;;;;Eur;S
Saxifraga granulata;VU;3;-2;-2;EN;●;●;;;;;;●;u;u;●;●;●;–;;Eur;S
Saxifraga hirculus;RE;†;†;†;;;RE;;;;;;†;;;–;;;;;Hol;S
Saxifraga hohenwartii;LC;2;0;0;●;;;;;;;;;●;;–;;;;S;SE-Alp;S
Saxifraga hostii;LC;2;0;0;●;;;;;;?;?;;●;●;u;;;;;Eur;H
Saxifraga moschata subsp. carniolica;LC;1;0;0;●;;;;;;;;;●;;;;;;;SE-Alp;S
Saxifraga moschata subsp. moschata;LC;4;0;0;●;;n;;;●;●;●;●;●;●;●;●;;;;Eur;S
Saxifraga muscoides;NT;2;0;-1;●;;;;;;;;●;●;;–;;;;;Alp;S
Saxifraga mutata;NT;3;-1;-1;●;;f;;;●;●;;●;●;●;●;●;;;;Alp;H
Saxifraga oppositifolia s.str.;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Hol;S
Saxifraga paniculata;LC;4;0;0;●;CR;CR;;;●;●;●;●;●;●;●;●;;;;Hol;S
Saxifraga paradoxa;VU;2;-1;-1;●;;;;;;;;;●;●;;;;;S;ZE-Alp;S
Saxifraga petraea;CR;1;0;-3;●;;;;;;;;;●;;;;;;;Eur;H
Saxifraga retusa;NT;2;0;-1;●;;;;;;;;–;;●;–;;;;;Eur;S
Saxifraga rotundifolia;LC;5;0;0;●;RE;EN;;;●;●;●;●;●;●;●;●;;;;Eur;S
Saxifraga rudolphiana;LC;3;0;0;●;;;;;;?;●;●;●;●;;;;;S;E-Alp;S
Saxifraga sedoides s.str.;LC;2;0;0;●;;;;;;●;●;?;●;●;?;●;;;;Eur;S
Saxifraga seguieri;LC;2;0;0;●;;;;;●;●;–;;;;;;;;;Alp;S
Saxifraga squarrosa;LC;2;0;0;●;;;;;;;●;;●;;;;;;;SE-Alp;S
Saxifraga styriaca;LC;2;0;0;●;;;;;;;;;;●;;;;;E;ZE-Alp!;S
Saxifraga tenella;EN;1;-1;-1;●;;;;;;;;;●;●;;;;;D;SE-Alp;S
Saxifraga tridactylites;LC;3;0;0;VU;VU;●;EN;●;e?;e;e?;●;●;●;●;●;●;●;;Eur;H
Saxifraga x geum;n;;;;;;;;;u;u;u;u;;u;le;u;;;;;S
Saxifraga x urbium;n;;;;;;;;;;;;;;;e;;;;;;S
Scabiosa canescens;VU;3;-2;-1;●;RE?;CR;;●;;;;–;;;●;●;●;●;;Eur;S
Scabiosa columbaria s.str.;NT;4;-2;-1;●;EN;EN;;EN;●;●;●;●;●;●;●;●;●;●;;Eur;S
Scabiosa lucida subsp. lucida;LC;4;-1;0;●;;CR;;;●;●;●;●;●;●;●;●;;;;Eur;S
Scabiosa lucida subsp. stricta;DD;?;?;?;●;;;;;;;;;●;●;;●;;;;Eur;S
Scabiosa ochroleuca;LC;4;-1;0;●;●;VU;VU;●;;le;–;u;●;●;●;●;●;●;;Euras;S
Scabiosa triandra;VU;3;-2;-1;●;●;CR;CR;●;;●;●;●;●;●;●;●;●;●;;Eur;H
Scandix pecten-veneris;CR;1;-3;-3;RE;;RE;RE;●;u;u;;u;u;u;†;●;†;†?;;Euras (Kosm);H
Scheuchzeria palustris;VU;3;-2;-1;●;CR;EN;;;●;●;–;●;●;●;●;●;;–;;Hol;S
Schlagintweitia huteri;LC;2;0;0;●;;;;;●;●;●;●;●;●;;;;;;Alp;S
Schlagintweitia intybacea;LC;4;0;0;●;;;;;●;●;●;●;●;●;;;;;;Alp;S
Schoenoplectus lacustris s.str.;NT;3;-1;-1;●;EN;EN;EN;VU;●;●;●;●;●;●;●;●;●;●;;Euras;S
Schoenoplectus litoralis;EN;1;0;-2;;;;;●;;;;;;;;;;●;V;Kosm;S
Schoenoplectus mucronatus;CR;1;-2;-1;●;n;n;●;n;●;;;u;●;●;le?;le?;;;;Kosm;S
Schoenoplectus pungens;EN;2;-2;-1;?;;;;●;;?;–;;;;?;;u;●;D;Kosm;S
Schoenoplectus supinus;EN;2;-2;-2;RE;;;;●;†;;;;;;?;●;●;●;;Kosm;S
Schoenoplectus tabernaemontani;VU;3;-2;-1;CR;n;RE,n;EN;●;●;●;●;u;●;†;†,u;●;●;●;;Kosm;S
Schoenoplectus triqueter;CR;1;-3;-2;RE;;RE;n;●;†;;;u;†;;†;●;●;–;;Kosm;S
Schoenus ferrugineus;VU;3;-2;-1;●;;EN;;CR;●;●;;●;●;●;●;●;;–;;Eur;S
Schoenus nigricans;VU;2;-1;-1;EN;;CR;;●;●;?;;●;●;;●;●;●;●;;Kosm;S
Scilla bifolia s.str.;LC;3;0;0;VU;EN;●;;VU;;;;●;●;;●;●;;;;Eur;S
Scilla drunensis;NT;2;0;-1;VU;;●;VU;EN;;;;;;●;●;●;●;●;;Eur;S
Scilla luciliae s.str.;n;;;;;;;;;;;u;u;;le;u;u;u;;;;S
Scilla siehei;n;;;;;;;;;;u;u;u;;;le;u;u;u;;;S
Scilla spetana;VU;1;0;-1;;;;;●;;;;;;;;●;;;;Eur;S
Scilla vindobonensis;LC;2;0;0;●;VU;VU;;●;;;;;;;;●;●;●;;Eur;S
Scirpoides holoschoenus;VU;2;-1;-1;CR;n;n;RE;●;;;;;u;†;u;●;●;●;;Euras (Kosm);S
Scirpus georgianus;n;;;;;;;;;;le;;;e;;;;;;;;S
Scirpus radicans;EN;2;-2;-1;●;●;●;●;●;;;;–;;●;●;●;●;●;;Euras;S
Scirpus sylvaticus;LC;5;-1;-1;●;●;●;●;NT;●;●;●;●;●;●;●;●;●;●;;Euras;S
Scleranthus annuus s.str.;NT;4;-2;-1;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);H
Scleranthus perennis;VU;3;-2;-1;CR;●;n;;EN;;†;;;†;?;●;●;;●;;Eur;S
Scleranthus polycarpos;VU;3;-2;-1;●;●;n;EN;EN;●;●;●;●;●;●;●;●;;●;;Eur;H
Scleranthus verticillatus;EN;2;-2;-2;●;;;;●;;;;;;;;●;†;●;;Eur;H
Sclerochloa dura;LC;3;0;0;;;RE*;n;●;;;;–;;u;†*;●;●;●;;Euras (Kosm);S
Scopolia carniolica;n;;;;;;;;;;;;;–;le;–;;u;;;;S
Scorzonera aristata;LC;2;0;0;●;;;;;;;●;●;●;;;;;;;Eur;S
Scorzonera austriaca;VU;2;-1;-1;●;;;;●;;;;;;●;–;●;●;●;;Euras;S
Scorzonera cana;LC;3;0;0;●;●;n;n;●;;;;;;u;u;●;●;●;;Euras;S
Scorzonera hispanica;EN;2;-2;-1;●;;;;●;;u;;;u;;u;●;●;●;;Euras;S
Scorzonera humilis;VU;4;-3;-2;●;EN;CR;EN;EN;●;●;;●;;●;●;●;●;●;;Eur;S
Scorzonera laciniata;RE;†;†;†;;;;;RE;;;;;;–;–;†;†;†;;Euras (Kosm);H
Scorzonera parviflora;EN;2;-2;-2;;;;;●;;;;;;;;●;u;●;;Euras;H
Scorzonera purpurea;EN;2;-2;-1;●;;;;●;;;;;;;–;●;●;●;;Euras;S
Scorzonera rosea;LC;2;0;0;●;;;;;;;;;●;;;;;;;Eur;S
Scorzoneroides autumnalis;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Scorzoneroides crocea;NT;2;0;-1;●;;;;;;;;;●;●;;;;;;Eur;S
Scorzoneroides helvetica;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Scorzoneroides montana subsp. melanotricha;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Eur;S
Scorzoneroides montana subsp. montana;LC;2;0;0;●;;;;;?;●;?;;;;;;;;;Eur;S
Scorzoneroides montaniformis;NT;2;0;-1;●;;;;;;;;;;●;;●;;;E;NE-Alp*!;S
Scrophularia juratensis;LC;2;0;0;●;;;;;;;?;;●;●;;;;;;Eur;S
Scrophularia neesii;DD;?;?;?;●;●;●;;;●;●;–;●;●;●;●;;;;;Eur;S
Scrophularia nodosa;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Euras;S
Scrophularia scopolii;LC;2;0;0;●;;;CR;;;;;;●;●;;;u;;;Eur;S
Scrophularia umbrosa agg.;LC;4;-1;0;●;●;●;●;●;●;●;;●;●;●;●;●;●;●;;Euras;S
Scrophularia umbrosa s.str.;DD;?;?;?;●;●;●;●;●;?;;;●;;●;●;●;●;●;;Euras;S
Scrophularia vernalis;VU;2;-1;-1;●;;;RE,n;n;;le;;●*;●;●;?;;u;u;;Eur;H
Scutellaria altissima;n;;;;;;;;;;;;;;le;le;le;le;le;;;S
Scutellaria galericulata;NT;4;-2;-1;VU;●;●;VU;VU;●;●;●;●;●;●;●;●;●;●;;Hol;S
Scutellaria hastifolia;VU;3;-2;-1;RE;;RE;●;EN;;;;;†?;●;†;●;●;●;;Euras;S
Scutellaria minor;CR;1;-1;-3;;●*;;;;;;;;;;●*;;;;;Eur;S
Securigera varia;LC;5;0;0;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);S
Sedum acre;LC;5;-1;-1;●;●;●;NT;●;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);S
Sedum album;LC;4;0;-1;●;●;VU;EN;●;●;●;●;●;●;●;●;●;●;●;;Eur (Kosm);S
Sedum alpestre;LC;4;0;0;●;n;;;;●;●;●;●;●;●;●;;;;;Eur;S
Sedum annuum;LC;3;0;-1;●;n;;;;●;●;●;●;●;●;†?*;le;;;;Eur;H
Sedum atratum;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;H
Sedum dasyphyllum;LC;4;0;0;●;n;n;n;n;●;●;●;●;●;●;●;;u;u;;Eur;S
Sedum hispanicum;LC;2;0;0;●;n;n;n;n;e;e;u;e;●;●;le;u;u;u;;Euras;H
Sedum pallidum;n;;;;;;;;;;;;;;;le;;;;;;S
Sedum rupestre s.str.;VU;2;-1;0;n;●;n;n;●;e;e;e;e;e;e;e;●;e;;;Eur;S
Sedum sarmentosum;n;;;;;;;;;;;u;le;u;u;u;u;u;u;;;S
Sedum sexangulare;LC;5;-1;-1;●;●;●;●;●;●;●;●;●;●;●;●;●;●;●;;Eur (Hol);S
Sedum thartii;G;?;?;?;●*;n;n;;●*;;●*;u;;u;u;u;●*;●*;le;;Eur;S
Sedum villosum;CR;2;-3;-2;●;RE;RE;RE;;●;†?;†;●;●;●;†;†;;;;Eur;H
Selaginella helvetica;LC;4;-1;0;●;VU;NT;EN;EN;●;●;●;●;●;●;●;●;●;●;;Euras;S
Selaginella selaginoides;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;–;;Hol;S
Selinum carvifolia;VU;4;-3;-2;●;EN;●;●;EN;●;●;●;●;●;●;●;●;●;●;;Eur;S
Sempervivum arachnoideum;LC;3;0;0;●;n;n;;n;●;●;●;●;●;●;u;u;;;;Eur;S
Sempervivum braunii;LC;3;0;0;●;;;;;;;●;●;●;●;●;●;;;E;E-Alp!;S
Sempervivum montanum s.str.;LC;3;0;0;●;;;;;●;●;●;●;●;;;;;;;Eur;S
Sempervivum pittonii;EN;1;-1;-1;●;;;;;;;;;;●;;;;;E;ZE-Alp*!;S
Sempervivum tectorum;LC;2;0;0;●;n;n;n;n;●;●;●;u;●;u;u;le;u;u;;Eur;S
Sempervivum wulfenii;LC;3;0;0;●;;;CR;;;●;●;●;●;●;;;;;;Alp;S
Senecio abrotanifolius;LC;4;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Senecio alpinus;LC;3;0;0;●;;;;;●;●;–;●;●;;?;;;;;Eur;S
Senecio aquaticus s.str.;NT;3;-1;-1;●;●;EN;;;●;●;–;●;●;●;●;●;;–;;Eur;S
Senecio cacaliaster;LC;3;0;0;●;;;;;;;●;●;●;●;;;;;;Eur;S
Senecio carniolicus s.str.;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;;;;;Eur;S
Senecio disjunctus;LC;2;0;0;●;;;;;;;;●;●;●;;;;;;E-Alp;S
Senecio doria s.str.;EN;2;-2;-2;;;;;●;;;;;;;–;●;●;●;;Euras;S
Senecio doronicum;LC;3;0;0;●;;;;;●;●;●;●;●;●;●;●;;;;Eur;S
Senecio erraticus;LC;4;-1;-1;VU;EN;RE,n;●;NT;–;u;;u;●;●;?;●;●;●;;Eur;S
Senecio erucifolius subsp. erucifolius;NT;2;0;-1;●;;;;;●;●;;;;;;;;;;Euras;S
Senecio erucifolius subsp. tenuifolius;EN;2;-2;-1;●;;CR;●;●;;;;u;●;●;●;●;●;●;;Euras;S
Senecio fontanicola;EN;2;-2;-2;●;;;;;;;;;●;;;;;;S;SE-Alp;S
Senecio hercynicus;LC;3;0;0;●;●;;;;●;●;●;●;●;●;●;●;●;?;;Eur;S
Senecio inaequidens;n;;;;;;;;;e;e;u;e;e;e;e;e;e;e;;;S
Senecio insubricus;LC;2;0;0;●;;;;;;●;●;;●;;;;;;;E-Alp;S
Senecio jacobaea;NT;4;-2;-1;●;VU;●;VU;●;●;●;●;●;●;●;●;●;●;●;;Euras (Kosm);S
Senecio nemorensis subsp. glabratus;LC;3;0;0;●;●;●;;;●;●;●;●;●;;●;;;;;E-Alp;S
Senecio nemorensis subsp. jacquinianus;LC;4;0;0;●;●;●;●;●;;●;;●;●;●;●;●;●;●;;Euras;S
Senecio noricus;LC;3;0;0;●;;;;;;;●;●;●;●;●;;;;E;E-Alp!;S
Senecio ovatus;LC;5;1;0;●;●;●;●;VU;●;●;●;●;●;●;●;●;●;●;;Eur;S
