"taxon";"rl";"a";"b";"r";"rl.al";"rl.bm";"rl.nv";"rl.sv";"rl.pa";"o.v";"o.nt";"o.ot";"o.s";"o.k";"o.st";"o.o";"o.n";"o.w";"o.b";"responsibility";"distribution";"lifeform"
"Sagittaria sagittifolia";"EN";"2";"-1";"-2";"CR";"CR";"EN";"RE?";"EN";"#";"u";"";"u";"u";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"S"
"Salicornia perennans";"EN";"2";"-2";"-2";"";"";"";"";"EN";"";"";"";"";"";"";"";"+";"";"#";"V";"Euras";"H"
"Salix alba";"LC";"5";"-1";"-2";"LC";"LC";"LC";"LC";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"B"
"Salix alpina";"LC";"3";"0";"0";"LC";"";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"B"
"Salix appendiculata s.str.";"LC";"5";"0";"0";"LC";"";"VU";"?";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"B"
"Salix aurita";"LC";"4";"-1";"-1";"LC";"LC";"VU";"VU";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"B"
"Salix bicolor";"VU";"1";"0";"-1";"VU";"";"";"";"";"–";"";"";"#";"#";"";"";"";"";"";"";"Eur";"B"
"Salix breviserrata";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"?";"–";"";"";"";"";"Eur";"B"
"Salix caesia";"EN";"1";"-1";"-1";"EN";"";"";"";"";"#";"#";"#";"";"#";"";"";"";"";"";"";"Euras";"B"
"Salix caprea";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"B"
"Salix cinerea";"LC";"5";"-1";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"B"
"Salix daphnoides";"LC";"4";"-1";"-1";"LC";"EN";"VU";"EN";"RE?";"#";"#";"#";"#";"#";"#";"#";"#";"#";"u?";"";"Eur";"B"
"Salix eleagnos";"LC";"4";"-1";"-1";"LC";"EN";"NT";"VU";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"Eur";"B"
"Salix foetida";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"";"";"";"";"";"";"";"";"Eur";"B"
"Salix fragilis s.str.";"LC";"4";"-1";"-1";"LC";"LC";"LC";"NT";"EN";"#*";"u?";"#*";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"B"
"Salix glabra";"LC";"4";"0";"0";"LC";"";"";"";"";"?";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"B"
"Salix glaucosericea";"VU";"2";"-1";"-1";"VU";"";"";"";"";"–";"#";"#";"#";"#";"";"";"";"";"";"";"Alp";"B"
"Salix hastata";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Euras";"B"
"Salix hegetschweileri";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"";"";"Alp";"B"
"Salix helvetica";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Eur";"B"
"Salix herbacea";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Salix laggeri";"LC";"1";"0";"0";"LC";"";"";"";"";"";"#";"?";"";"";"";"";"";"";"";"";"Alp";"B"
"Salix mielichhoferi";"LC";"3";"0";"0";"LC";"";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"S";"E-Alp";"B"
"Salix myrsinifolia";"LC";"5";"0";"0";"LC";"EN";"NT";"CR";"CR";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Euras";"B"
"Salix myrtilloides";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"";"";"#";"";"";"–";"";"";"";"";"Euras";"B"
"Salix pentandra";"EN";"2";"-2";"-1";"EN";"CR";"";"";"CR";"u";"#";"#";"#";"u";"";"#";"#";"";"+?";"";"Euras (Hol)";"B"
"Salix purpurea";"LC";"5";"-1";"-1";"LC";"LC";"LC";"LC";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"B"
"Salix repens subsp. repens";"VU";"3";"-2";"-2";"VU";"CR";"EN";"";"";"#";"#";"–";"#";"";"#";"#";"";"";"";"";"Eur";"B"
"Salix repens subsp. rosmarinifolia";"VU";"3";"-2";"-2";"VU";"EN";"EN";"EN";"EN";"";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"B"
"Salix reticulata";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Salix retusa s.str.";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"B"
"Salix serpyllifolia";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"Alp";"B"
"Salix triandra subsp. amygdalina";"NT";"3";"-1";"-1";"NT";"G";"NT";"G";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"B"
"Salix triandra subsp. triandra";"VU";"3";"-2";"-1";"VU";"VU";"VU";"VU";"VU";"";"?";"";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"B"
"Salix viminalis";"VU";"3";"-2";"-2";"VU";"VU";"VU";"VU";"EN";"u";"u";"u";"#*";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"B"
"Salix waldsteiniana";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"B"
"Salix x rubens";"LC";"4";"0";"0";"DD";"DD";"LC";"LC";"LC";"#*";"#*";"?";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Hol)";"B"
"Salsola tragus";"LC";"3";"0";"0";"n";"n";"n";"";"LC";"";"";"";"u";"";"";"u";"#";"#";"#";"";"Euras (Kosm)";"H"
"Salvia aethiopis";"VU";"2";"-1";"-1";"";"";"";"";"VU";"";"";"";"";"";"";"";"#";"#";"#";"";"Hol";"S"
"Salvia austriaca";"EN";"2";"-2";"-1";"";"";"n";"n";"EN";"";"";"";"";"";"u";"u";"#";"#";"#";"";"Eur";"S"
"Salvia glutinosa";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Salvia nemorosa";"LC";"4";"-1";"-1";"NT";"VU";"RE,n";"CR";"LC";"u";"u";"u";"u";"e?";"e";"+,e";"#";"#";"#";"";"Euras (Hol)";"S"
"Salvia pratensis";"NT";"5";"-3";"-2";"NT";"VU";"NT";"NT";"NT";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Salvia verticillata";"LC";"5";"-1";"-1";"LC";"LC";"NT";"VU";"NT";"#*";"#";"u";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Hol)";"S"
"Salvinia natans";"n";"";"";"";"";"";"";"";"";"";"u";"";"";"u";"";"";"–";"le";"";"";"";"S"
"Sambucus ebulus";"LC";"5";"1";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Sambucus nigra";"LC";"5";"1";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"B"
"Sambucus racemosa";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Hol)";"B"
"Samolus valerandi";"EN";"2";"-2";"-1";"";"";"";"";"EN";"";"";"";"";"";"";"";"#";"#";"#";"";"Kosm";"H"
"Sanguisorba minor subsp. balearica";"NT";"3";"-1";"-1";"NT";"n";"n";"n";"NT";"u";"u";"u";"e";"#*";"#*";"le";"#";"#";"#";"";"Euras";"S"
"Sanguisorba minor subsp. minor";"LC";"4";"-1";"-1";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"S"
"Sanguisorba officinalis";"NT";"5";"-3";"-2";"NT";"NT";"NT";"NT";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Sanicula epipactis";"LC";"2";"0";"0";"LC";"";"n";"";"";"";"";"";"";"#";"u";"le";"";"";"";"";"Eur";"S"
"Sanicula europaea";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Kosm";"S"
"Saponaria ocymoides";"LC";"3";"0";"0";"LC";"n";"n";"n";"n";"#";"#";"#";"";"#";"u";"u";"u";"u";"u";"";"Eur";"S"
"Saponaria officinalis";"LC";"4";"1";"0";"LC";"LC";"LC";"LC";"LC";"u";"e";"#";"#*";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"S"
"Saponaria pumila";"LC";"3";"0";"0";"LC";"";"";"";"";"";"";"#";"#";"#";"#";"–";"";"";"";"S";"Eur";"S"
"Satureja hortensis";"n";"";"";"";"";"";"";"";"";"u";"u";"u";"le?";"u";"u";"le?";"u";"u";"u";"";"";"H"
"Saussurea alpina";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"–";"";"";"";"";"Euras";"S"
"Saussurea discolor";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"";"";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Saussurea pygmaea";"LC";"2";"0";"0";"LC";"";"";"";"";"";"#";"";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Saxifraga adscendens";"LC";"3";"0";"0";"LC";"";"";"";"";"?";"#";"#";"#";"#";"#";"–";"#";"";"";"";"Eur";"H"
"Saxifraga aizoides";"LC";"4";"0";"0";"LC";"RE";"f";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Saxifraga androsacea";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Euras";"S"
"Saxifraga aphylla";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"–";"#";"#";"#";"";"";"S";"E-Alp";"S"
"Saxifraga aspera";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"–";"";"";"";"";"Eur";"S"
"Saxifraga biflora";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"";"–";"";"";"";"";"Alp";"S"
"Saxifraga blepharophylla";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"";"#";"#";"#";"";"";"";"";"E";"ZE-Alp!";"S"
"Saxifraga bryoides";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"–";"";"";"";"";"Eur";"S"
"Saxifraga bulbifera";"EN";"2";"-2";"-1";"EN";"EN";"";"EN";"EN";"";"";"";"–";"";"";"–";"#";"#";"#";"";"Eur";"S"
"Saxifraga burseriana";"LC";"3";"0";"0";"LC";"";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"E-Alp";"S"
"Saxifraga caesia";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Saxifraga carpatica";"EN";"1";"0";"-2";"EN";"";"";"";"";"";"";"";"";"";"#";"";"";"";"";"D";"Eur";"S"
"Saxifraga cernua";"VU";"1";"0";"-1";"VU";"";"";"";"";"";"#";"";"";"#";"#";"";"";"";"";"";"Hol";"S"
"Saxifraga cotyledon";"VU";"1";"0";"-1";"VU";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"";"";"Eur";"S"
"Saxifraga crustata";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"#";"";"#";"#";"–";"";"";"";"";"Eur";"S"
"Saxifraga cuneifolia subsp. robusta";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"";"";"";"";"";"";"Eur";"S"
"Saxifraga exarata s.str.";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"";"";"";"";"";"";"";"";"";"Eur";"S"
"Saxifraga granulata";"VU";"3";"-2";"-2";"EN";"VU";"VU";"";"";"";"";"";"#";"u";"u";"#";"#";"#";"–";"";"Eur";"S"
"Saxifraga hirculus";"RE";"+";"+";"+";"";"";"RE";"";"";"";"";"";"+";"";"";"–";"";"";"";"";"Hol";"S"
"Saxifraga hohenwartii";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"";"";"#";"";"–";"";"";"";"S";"SE-Alp";"S"
"Saxifraga hostii";"LC";"2";"0";"0";"LC";"";"";"";"";"";"?";"?";"";"#";"#";"u";"";"";"";"";"Eur";"H"
"Saxifraga moschata subsp. carniolica";"LC";"1";"0";"0";"LC";"";"";"";"";"";"";"";"";"#";"";"";"";"";"";"";"SE-Alp";"S"
"Saxifraga moschata subsp. moschata";"LC";"4";"0";"0";"LC";"";"n";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Saxifraga muscoides";"NT";"2";"0";"-1";"NT";"";"";"";"";"";"";"";"#";"#";"";"–";"";"";"";"";"Alp";"S"
"Saxifraga mutata";"NT";"3";"-1";"-1";"NT";"";"f";"";"";"#";"#";"";"#";"#";"#";"#";"#";"";"";"";"Alp";"H"
"Saxifraga oppositifolia s.str.";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"Hol";"S"
"Saxifraga paniculata";"LC";"4";"0";"0";"LC";"CR";"CR";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Hol";"S"
"Saxifraga paradoxa";"VU";"2";"-1";"-1";"VU";"";"";"";"";"";"";"";"";"#";"#";"";"";"";"";"S";"ZE-Alp";"S"
"Saxifraga petraea";"CR";"1";"0";"-3";"CR";"";"";"";"";"";"";"";"";"#";"";"";"";"";"";"";"Eur";"H"
"Saxifraga retusa";"NT";"2";"0";"-1";"NT";"";"";"";"";"";"";"";"–";"";"#";"–";"";"";"";"";"Eur";"S"
"Saxifraga rotundifolia";"LC";"5";"0";"0";"LC";"RE";"EN";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Saxifraga rudolphiana";"LC";"3";"0";"0";"LC";"";"";"";"";"";"?";"#";"#";"#";"#";"";"";"";"";"S";"E-Alp";"S"
"Saxifraga sedoides s.str.";"LC";"2";"0";"0";"LC";"";"";"";"";"";"#";"#";"?";"#";"#";"?";"#";"";"";"";"Eur";"S"
"Saxifraga seguieri";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"–";"";"";"";"";"";"";"";"";"Alp";"S"
"Saxifraga squarrosa";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"#";"";"#";"";"";"";"";"";"";"SE-Alp";"S"
"Saxifraga styriaca";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"";"";"";"#";"";"";"";"";"E";"ZE-Alp!";"S"
"Saxifraga tenella";"EN";"1";"-1";"-1";"EN";"";"";"";"";"";"";"";"";"#";"#";"";"";"";"";"D";"SE-Alp";"S"
"Saxifraga tridactylites";"LC";"3";"0";"0";"VU";"VU";"LC";"EN";"LC";"e?";"e";"e?";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"H"
"Saxifraga x geum";"n";"";"";"";"";"";"";"";"";"u";"u";"u";"u";"";"u";"le";"u";"";"";"";"";"S"
"Saxifraga x urbium";"n";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"e";"";"";"";"";"";"S"
"Scabiosa canescens";"VU";"3";"-2";"-1";"VU";"RE?";"CR";"";"VU";"";"";"";"–";"";"";"#";"#";"#";"#";"";"Eur";"S"
"Scabiosa columbaria s.str.";"NT";"4";"-2";"-1";"NT";"EN";"EN";"";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"S"
"Scabiosa lucida subsp. lucida";"LC";"4";"-1";"0";"LC";"";"CR";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Scabiosa lucida subsp. stricta";"DD";"?";"?";"?";"DD";"";"";"";"";"";"";"";"";"#";"#";"";"#";"";"";"";"Eur";"S"
"Scabiosa ochroleuca";"LC";"4";"-1";"0";"LC";"LC";"VU";"VU";"LC";"";"le";"–";"u";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Scabiosa triandra";"VU";"3";"-2";"-1";"VU";"VU";"CR";"CR";"VU";"";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur";"H"
"Scandix pecten-veneris";"CR";"1";"-3";"-3";"RE";"";"RE";"RE";"CR";"u";"u";"";"u";"u";"u";"+";"#";"+";"+?";"";"Euras (Kosm)";"H"
"Scheuchzeria palustris";"VU";"3";"-2";"-1";"VU";"CR";"EN";"";"";"#";"#";"–";"#";"#";"#";"#";"#";"";"–";"";"Hol";"S"
"Schlagintweitia huteri";"LC";"2";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Alp";"S"
"Schlagintweitia intybacea";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"";"";"";"";"";"Alp";"S"
"Schoenoplectus lacustris s.str.";"NT";"3";"-1";"-1";"NT";"EN";"EN";"EN";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Schoenoplectus litoralis";"EN";"1";"0";"-2";"";"";"";"";"EN";"";"";"";"";"";"";"";"";"";"#";"V";"Kosm";"S"
"Schoenoplectus mucronatus";"CR";"1";"-2";"-1";"CR";"n";"n";"CR";"n";"#";"";"";"u";"#";"#";"le?";"le?";"";"";"";"Kosm";"S"
"Schoenoplectus pungens";"EN";"2";"-2";"-1";"?";"";"";"";"EN";"";"?";"–";"";"";"";"?";"";"u";"#";"D";"Kosm";"S"
"Schoenoplectus supinus";"EN";"2";"-2";"-2";"RE";"";"";"";"EN";"+";"";"";"";"";"";"?";"#";"#";"#";"";"Kosm";"S"
"Schoenoplectus tabernaemontani";"VU";"3";"-2";"-1";"CR";"n";"RE,n";"EN";"VU";"#";"#";"#";"u";"#";"+";"+,u";"#";"#";"#";"";"Kosm";"S"
"Schoenoplectus triqueter";"CR";"1";"-3";"-2";"RE";"";"RE";"n";"CR";"+";"";"";"u";"+";"";"+";"#";"#";"–";"";"Kosm";"S"
"Schoenus ferrugineus";"VU";"3";"-2";"-1";"VU";"";"EN";"";"CR";"#";"#";"";"#";"#";"#";"#";"#";"";"–";"";"Eur";"S"
"Schoenus nigricans";"VU";"2";"-1";"-1";"EN";"";"CR";"";"VU";"#";"?";"";"#";"#";"";"#";"#";"#";"#";"";"Kosm";"S"
"Scilla bifolia s.str.";"LC";"3";"0";"0";"VU";"EN";"LC";"";"VU";"";"";"";"#";"#";"";"#";"#";"";"";"";"Eur";"S"
"Scilla drunensis";"NT";"2";"0";"-1";"VU";"";"NT";"VU";"EN";"";"";"";"";"";"#";"#";"#";"#";"#";"";"Eur";"S"
"Scilla luciliae s.str.";"n";"";"";"";"";"";"";"";"";"";"";"u";"u";"";"le";"u";"u";"u";"";"";"";"S"
"Scilla siehei";"n";"";"";"";"";"";"";"";"";"";"u";"u";"u";"";"";"le";"u";"u";"u";"";"";"S"
"Scilla spetana";"VU";"1";"0";"-1";"";"";"";"";"VU";"";"";"";"";"";"";"";"#";"";"";"";"Eur";"S"
"Scilla vindobonensis";"LC";"2";"0";"0";"LC";"VU";"VU";"";"LC";"";"";"";"";"";"";"";"#";"#";"#";"";"Eur";"S"
"Scirpoides holoschoenus";"VU";"2";"-1";"-1";"CR";"n";"n";"RE";"VU";"";"";"";"";"u";"+";"u";"#";"#";"#";"";"Euras (Kosm)";"S"
"Scirpus georgianus";"n";"";"";"";"";"";"";"";"";"";"le";"";"";"e";"";"";"";"";"";"";"";"S"
"Scirpus radicans";"EN";"2";"-2";"-1";"EN";"EN";"EN";"EN";"EN";"";"";"";"–";"";"#";"#";"#";"#";"#";"";"Euras";"S"
"Scirpus sylvaticus";"LC";"5";"-1";"-1";"LC";"LC";"LC";"LC";"NT";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Scleranthus annuus s.str.";"NT";"4";"-2";"-1";"NT";"NT";"NT";"NT";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"H"
"Scleranthus perennis";"VU";"3";"-2";"-1";"CR";"VU";"n";"";"EN";"";"+";"";"";"+";"?";"#";"#";"";"#";"";"Eur";"S"
"Scleranthus polycarpos";"VU";"3";"-2";"-1";"VU";"VU";"n";"EN";"EN";"#";"#";"#";"#";"#";"#";"#";"#";"";"#";"";"Eur";"H"
"Scleranthus verticillatus";"EN";"2";"-2";"-2";"EN";"";"";"";"EN";"";"";"";"";"";"";"";"#";"+";"#";"";"Eur";"H"
"Sclerochloa dura";"LC";"3";"0";"0";"";"";"RE*";"n";"LC";"";"";"";"–";"";"u";"+*";"#";"#";"#";"";"Euras (Kosm)";"S"
"Scopolia carniolica";"n";"";"";"";"";"";"";"";"";"";"";"";"";"–";"le";"–";"";"u";"";"";"";"S"
"Scorzonera aristata";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"#";"#";"#";"";"";"";"";"";"";"Eur";"S"
"Scorzonera austriaca";"VU";"2";"-1";"-1";"VU";"";"";"";"VU";"";"";"";"";"";"#";"–";"#";"#";"#";"";"Euras";"S"
"Scorzonera cana";"LC";"3";"0";"0";"LC";"LC";"n";"n";"LC";"";"";"";"";"";"u";"u";"#";"#";"#";"";"Euras";"S"
"Scorzonera hispanica";"EN";"2";"-2";"-1";"EN";"";"";"";"EN";"";"u";"";"";"u";"";"u";"#";"#";"#";"";"Euras";"S"
"Scorzonera humilis";"VU";"4";"-3";"-2";"VU";"EN";"CR";"EN";"EN";"#";"#";"";"#";"";"#";"#";"#";"#";"#";"";"Eur";"S"
"Scorzonera laciniata";"RE";"+";"+";"+";"";"";"";"";"RE";"";"";"";"";"";"–";"–";"+";"+";"+";"";"Euras (Kosm)";"H"
"Scorzonera parviflora";"EN";"2";"-2";"-2";"";"";"";"";"EN";"";"";"";"";"";"";"";"#";"u";"#";"";"Euras";"H"
"Scorzonera purpurea";"EN";"2";"-2";"-1";"EN";"";"";"";"EN";"";"";"";"";"";"";"–";"#";"#";"#";"";"Euras";"S"
"Scorzonera rosea";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"";"";"#";"";"";"";"";"";"";"Eur";"S"
"Scorzoneroides autumnalis";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras (Kosm)";"S"
"Scorzoneroides crocea";"NT";"2";"0";"-1";"NT";"";"";"";"";"";"";"";"";"#";"#";"";"";"";"";"";"Eur";"S"
"Scorzoneroides helvetica";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"S"
"Scorzoneroides montana subsp. melanotricha";"LC";"3";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"Eur";"S"
"Scorzoneroides montana subsp. montana";"LC";"2";"0";"0";"LC";"";"";"";"";"?";"#";"?";"";"";"";"";"";"";"";"";"Eur";"S"
"Scorzoneroides montaniformis";"NT";"2";"0";"-1";"NT";"";"";"";"";"";"";"";"";"";"#";"";"#";"";"";"E";"NE-Alp*!";"S"
"Scrophularia juratensis";"LC";"2";"0";"0";"LC";"";"";"";"";"";"";"?";"";"#";"#";"";"";"";"";"";"Eur";"S"
"Scrophularia neesii";"DD";"?";"?";"?";"DD";"DD";"DD";"";"";"#";"#";"–";"#";"#";"#";"#";"";"";"";"";"Eur";"S"
"Scrophularia nodosa";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Scrophularia scopolii";"LC";"2";"0";"0";"LC";"";"";"CR";"";"";"";"";"";"#";"#";"";"";"u";"";"";"Eur";"S"
"Scrophularia umbrosa agg.";"LC";"4";"-1";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"";"#";"#";"#";"#";"#";"#";"#";"";"Euras";"S"
"Scrophularia umbrosa s.str.";"DD";"?";"?";"?";"DD";"DD";"DD";"DD";"DD";"?";"";"";"#";"";"#";"#";"#";"#";"#";"";"Euras";"S"
"Scrophularia vernalis";"VU";"2";"-1";"-1";"VU";"";"";"RE,n";"n";"";"le";"";"#*";"#";"#";"?";"";"u";"u";"";"Eur";"H"
"Scutellaria altissima";"n";"";"";"";"";"";"";"";"";"";"";"";"";"";"le";"le";"le";"le";"le";"";"";"S"
"Scutellaria galericulata";"NT";"4";"-2";"-1";"VU";"NT";"NT";"VU";"VU";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Hol";"S"
"Scutellaria hastifolia";"VU";"3";"-2";"-1";"RE";"";"RE";"VU";"EN";"";"";"";"";"+?";"#";"+";"#";"#";"#";"";"Euras";"S"
"Scutellaria minor";"CR";"1";"-1";"-3";"";"CR";"";"";"";"";"";"";"";"";"";"#*";"";"";"";"";"Eur";"S"
"Securigera varia";"LC";"5";"0";"0";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"S"
"Sedum acre";"LC";"5";"-1";"-1";"LC";"LC";"LC";"NT";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"S"
"Sedum album";"LC";"4";"0";"-1";"LC";"LC";"VU";"EN";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Kosm)";"S"
"Sedum alpestre";"LC";"4";"0";"0";"LC";"n";"";"";"";"#";"#";"#";"#";"#";"#";"#";"";"";"";"";"Eur";"S"
"Sedum annuum";"LC";"3";"0";"-1";"LC";"n";"";"";"";"#";"#";"#";"#";"#";"#";"+?*";"le";"";"";"";"Eur";"H"
"Sedum atratum";"LC";"4";"0";"0";"LC";"";"";"";"";"#";"#";"#";"#";"#";"#";"#";"#";"";"";"";"Eur";"H"
"Sedum dasyphyllum";"LC";"4";"0";"0";"LC";"n";"n";"n";"n";"#";"#";"#";"#";"#";"#";"#";"";"u";"u";"";"Eur";"S"
"Sedum hispanicum";"LC";"2";"0";"0";"LC";"n";"n";"n";"n";"e";"e";"u";"e";"#";"#";"le";"u";"u";"u";"";"Euras";"H"
"Sedum pallidum";"n";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"le";"";"";"";"";"";"S"
"Sedum rupestre s.str.";"VU";"2";"-1";"0";"n";"VU";"n";"n";"VU";"e";"e";"e";"e";"e";"e";"e";"#";"e";"";"";"Eur";"S"
"Sedum sarmentosum";"n";"";"";"";"";"";"";"";"";"";"";"u";"le";"u";"u";"u";"u";"u";"u";"";"";"S"
"Sedum sexangulare";"LC";"5";"-1";"-1";"LC";"LC";"LC";"LC";"LC";"#";"#";"#";"#";"#";"#";"#";"#";"#";"#";"";"Eur (Hol)";"S"
"Sedum thartii";"G";"?";"?";"?";"G";"n";"n";"";"G";"";"#*";"u";"";"u";"u";"u";"#*";"#*";"le";"";"Eur";"S"
