SPECIES_NR;LETTERCODE;SHORTNAME;ABBREVIAT;NATIVENAME;AUTHOR;SYNONYM;VALID_NR
9421;RUBUACA;Rubus acanthodes;Rubus acanthodes;;;FALSCH;9421
9422;RUBUALB;Rubus albiflorus;Rubus albiflorus;;;FALSCH;9422
9423;RUBUALL;Rubus alleghienensis;Rubus alleghienensis;;;FALSCH;9423
9424;RUBUANG;Rubus angustipaniculat;Rubus angustipaniculatus;;;FALSCH;9424
9425;RUBUAPR;Rubus apricus;Rubus apricus;;;FALSCH;9425
9426;RUBUARM;Rubus armeniacus;Rubus armeniacus;;;FALSCH;9426
9427;RUBUAUS;Rubus austromoravicus;Rubus austromoravicus;;;FALSCH;9427
9428;RUBUBAR;Rubus barberi;Rubus barberi;;;FALSCH;9428
9429;RUBUBAA;Rubus barrandienicus;Rubus barrandienicus;;;FALSCH;9429
9430;RUBUBAV;Rubus bavaricus;Rubus bavaricus;;;FALSCH;9430
9431;RUBUBER;Rubus bertramii;Rubus bertramii;;;FALSCH;9431
9432;RUBUBIF;Rubus bifrons;Rubus bifrons;;;FALSCH;9432
9433;RUBUBOH;Rubus bohemicola;Rubus bohemicola;;;FALSCH;9433
9434;RUBUBRD;Rubus brdensis;Rubus brdensis;;;FALSCH;9434
9435;RUBUBRE;Rubus bregutiensis;Rubus bregutiensis;;;FALSCH;9435
9436;RUBUBRU;Rubus brunneri;Rubus brunneri;;;FALSCH;9436
9437;RUBUCAE;Rubus caesius;Rubus caesius;;;FALSCH;9437
9438;RUBUCAF;Rubus caflischii;Rubus caflischii;;;FALSCH;9438
9439;RUBUCAM;Rubus camptostachys;Rubus camptostachys;;;FALSCH;9439
9440;RUBUCAN;Rubus canadensis;Rubus canadensis;;;FALSCH;9440
9441;RUBUCAS;Rubus canescens;Rubus canescens;;;FALSCH;9441
9442;RUBUCEN;Rubus centrobohemicus;Rubus centrobohemicus;;;FALSCH;9442
9443;RUBUCHA;Rubus chaerophyllus;Rubus chaerophyllus;;;FALSCH;9443
9444;RUBUCHM;Rubus chamaemorus;Rubus chamaemorus;;;FALSCH;9444
9445;RUBUCLU;Rubus clusii;Rubus clusii;;;FALSCH;9445
9446;RUBUCON;Rubus constrictus;Rubus constrictus;;;FALSCH;9446
9447;RUBUCOR;Rubus corylifolius ag.;Rubus corylifolius agg.;;;FALSCH;9447
9448;RUBUCRI;Rubus crispomarginatus;Rubus crispomarginatus;;;FALSCH;9448
9449;RUBUDET;Rubus dethartingii;Rubus dethartingii;;;FALSCH;9449
9450;RUBUDIV;Rubus divaricatus;Rubus divaricatus;;;FALSCH;9450
9451;RUBUDOL;Rubus dollnensis;Rubus dollnensis;;;FALSCH;9451
9452;RUBUELA;Rubus elatior;Rubus elatior;;;FALSCH;9452
9453;RUBUEPI;Rubus epipsilos;Rubus epipsilos;;;FALSCH;9453
9454;RUBUFAB;Rubus fabrimontanus;Rubus fabrimontanus;;;FALSCH;9454
9455;RUBUFAS;Rubus fasciculatiformi;Rubus fasciculatiformis;;;FALSCH;9455
9456;RUBUFAC;Rubus fasciculatus;Rubus fasciculatus;;;FALSCH;9456
