abbr;layer;comment;13;95;102;91;65;4;111;78;109;75;110;47;34;92;28;114;35;76;115;71;101;100;103;104;106;21;107;18;9;41;105;67;68;6;99;43;79;112;20;1;8;22;27;29;66;70;17;46;77;48;51;69;82;14;7;12;52;24;26;30;80;25;58;84;85;81;83;57;73;15;87;93;94;5;19;49;108;53;61;23;33;64;96;74;31;113;56;2;62;90;89;32;36;55;42;10;59;50;40;86;37;60;54;3;88;38;44;39;45;63;97;98;72;16
thui assi;ml;Thuidium assimile;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
thui tama;ml;Thuidium tamariscinum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
tort tort;ml;Tortella tortuosa;;1;1;2a;1;1;1;1;2a;;+;+;1;2a;+;;1;+;+;1;;1;1;;+;;;;;;1;;;;1;;;;;;;;;;1;1;;;1;+;;;;1;1;;;;;;+;1;;;;1;;;1;;+;;+;;;;;1;;;;;;;;;1;2a;;1;;;;;;;;;;;1;;;1;+;;;;;+;+;;+;
tric tome;ml;Trichocolea tomentella;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
acer pseu;hl;Acer pseudoplatanus;;r;;;;;;;;r;;;;;;;;;;;r;r;;;r;;;;;;;;;r;+;;;r;;;r;;;;;;;;;;r;+;;r;r;r;r;+;;;;+;+;;;;;1;+;r;+;r;r;r;;;+;+;+;r;r;;r;+;+;+;+;+;;;+;+;;+;;+;+;;+;+;;r;+;r;+;;+;;+;+;+;+;+;
aden alpi;hl;Adenostyles alpina;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;r;+;;r;+;+;;;;1;1;1;2a;+;2a;1;2a;1;2a;+;+;+;1;+;2a;2a;;1;2b;1;2a;1;+;;;+;+;1;2a;1;+;1;+;;+;1;;+;+;;;1;2a;+;+;+;;1;+;r;+;1;1;2a;r;1;r;;+;1;+;1;+
agro alpi;hl;Agrostis alpina;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ajug rept;hl;Ajuga reptans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;r;;;;;;;;;;;;;;
alli lusi;hl;Allium lusitanicum;;;r;;r;;;;+;;+;;+;;;+;;+;+;+;1;+;+;+;+;1;+;+;+;+;;+;+;+;+;;;;;;;+;;;+;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
anth ramo;hl;Anthericum ramosum;;;;;;r;r;;r;;+;;;+;;r;;+;+;+;1;+;;;;r;;;r;r;;+;;1;+;;+;+;;+;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;r;;+;+;;+;+;+;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;
anth vuln slat;hl;Anthyllis vulneraria;;;;;;;;;;;;;;;;;;;;;+;+;+;;;+;+;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
apos foet;hl;Aposeris foetida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;+;+;+;+;r;;;;;;;+;;;;+;+;;;+;;;;+;+;;+;1;;;1;1;+;2a;1;+;+;+;;1;1;+;1;+;;+;
arab alpi alpi;hl;Arabis alpina ssp. alpina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arab sagi;hl;Arabis sagittata;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
arab stel;hl;Arabis stellulata;;;;;;+;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aspl ruta;hl;Asplenium ruta-muraria ssp. ruta-muraria;;;r;r;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
aspl viri;hl;Asplenium viride;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;
bell mich;hl;Bellidiastrum michelii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;r;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;
brac pinn;hl;Brachypodium pinnatum;;;;;;;;;;;;;;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
brac sylv;hl;Brachypodium sylvaticum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;+;;2a;;;;+;;;;+;;;2a;;+;;+;;;;;;;1;;;;1;;;;;;;
briz medi;hl;Briza media;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;r;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brom erec;hl;Bromus erectus;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
