class;order;alliance;association;variant
 ; ;Eragrostion minoris Tx. in Slavnic 1944;;
 ; ; ;Digitario-Eragrostietum Tx. 1950 ex v. Rochow 1951;
 ; ;Salsolion ruthenicae Philippi 1971;;
 ; ; ;Bromo-Corispermetum leptopteri Sissingh 1950;
 ; ; ;Setario-Plantaginetum indicae Passarge 1988;
 ; ; ;Chenopodietum botryos Sukopp 1971;
 ; ; ;Kochietum densiflorae Gutte et Klotz 1985;
 ;Sisymbrietalia J.Tx. in Lohmeyer et al. 1962;;;
 ; ;Sisymbrion Tx. et al. in Tx 1950;;
 ; ; ;Hyoscyamo nigri-Malvetum neglectae Aichinger 1933;
 ; ; ;Malvo neglectae-Chenopodietum vulvariae Gutte 1966;
 ; ; ;Chenopodietum stricti (Oberd. 1957) Passarge 1964;
 ; ; ;Sisymbrio-Atriplicetum sagittatae Oberd. ex Mahn et Schubert 1962;
 ; ; ;Sisymbrio-Atriplicetum oblongifoliae Oberd. 1957;
 ; ; ;Erigeronto-Lactucetum serriolae Lohmeyer in Oberd. 1957 em Mucina 1978;
 ; ; ;Capsello-Descurainietum sophiae Mucina 1993;
 ; ; ;Elymo repentis-Sisymbrietum loeselii Mucina 1993;
 ; ; ;Sisymbrietum altissimi Bornkamm 1974;
 ; ; ;Sisymbrio-Asperuginetum Rebholz 1931;
 ; ; ;Lappulo deflexae-Chenopodietum foliosi Bernátová 1986  [-];
 ; ; ;Hordeetum murini Libbert 1933;
 ; ; ;Cynodonto-Atriplicetum tataricae Morariu 1943;
 ; ; ;Malvetum pusillae Morariu 1943;
 ; ; ;Anthemis cotula-Gesellschaft ;
 ; ;Chenopodion muralis Br.-Bl. 1931 em. O. Bolós  [-];;
 ; ; ;Chenopodietum muralis Br.-Bl. et Maire 1924  [-];
Bidentetea tripartitae Tx. et al. in Tx 1950;;;;
 ;Bidentetalia tripartitae Br.-Bl. et Tx. ex Klika et Hadac 1944;;;
 ; ;Bidention tripartitae Nordhagen 1940 em. Tx. in Poli et J. Tx. 1960;;
 ; ; ;Bidenti-Polygonetum hydropiperis Lohmeyer in Tx. 1950 nom. invers. propos.;
 ; ; ;Rumici-Alopecuretum aequalis Cirtu 1972;
 ; ; ;Bidenti-Ranunculetum scelerati (Miljan 1933) Tx. 1978;
 ; ; ;Rumicetum maritimi Sissingh ex Tx. 1950;
 ; ; ;Rumicetum palustris (Timár 1950) W. Fischer 1978;
 ; ; ;Senecionetum tubicaulis Burrichter 1970;
 ; ; ;Polygonum mite-Gesellschaft ;
 ; ;Chenopodion glauci Hejný 1974;;
 ; ; ;Chenopodietum rubri Timár 1947;
 ; ; ;Chenopodio rubri-Polygonetum brittingeri Lohmeyer 1950;
 ; ; ;Xanthio albini-Chenopodietum rubri Lohmeyer et Walther in Lohmeyer 1950;
 ; ; ;Bidenti-Brassicetum nigrae Allorge 1921;
 ; ; ;Rorippo-Corrigioletum littoralis Malcuit 1929;
 ; ; ;Atriplex prostrata-Chenopodion glauci-Gesellschaft ;
Galio-Urticetea Passarge et Kopecky 1969;;;;
 ;Convolvuletalia sepium Tx. 1950 em. Mucina 1993;;;
 ; ;Senecionion fluviatilis Tx. 1950;;
 ; ; ;Soncho-Archangelicetum litoralis Tx. 1937;
 ; ; ;Senecionetum fluviatilis Th. Müller ex Straka in Mucina 1993;
 ; ; ;Cuscuto europaeae-Convolvuletum sepium Tx. 1947;
 ; ; ;Convolvulo-Eupatorietum cannabini Görs 1974 nom. invers. propos.;
 ; ; ;Epilobio hirsuti-Convolvuletum sepium Hilbig et al. 1972;
 ; ; ;Veronico longifoliae-Euphorbietum palustris Korneck 1963;
 ; ; ;Veronico longifoliae-Euphorbietum lucidae Balátová-Tulacková et Knezevic 1975  [-];
 ; ; ;Veronica longifolia-Filipendula ulmaria-Gesellschaft ;
 ; ; ;Filipendula-Thalictrum flavum-Gesellschaft ;
 ; ; ;Senecio paludosus-Gesellschaft ;
 ; ; ;Cuscuta lupuliformis-Gesellschaft ;
 ;Lamio-Chenopodietalia boni-henrici Kopecký 1969;;;
 ; ;Aegopodion podagrariae Tx. 1967;;
 ; ; ;Chaerophylletum bulbosi Tx. 1937;
 ; ; ;Phalarido-Petasitetum hybridi Schwickerath 1933 nom. mutat. propos.;
 ; ; ;Chaerophylletum aurei Oberd. 1957;
 ; ; ;Chaerophylletum aromatici Neuhäuslová-Novotná et al. 1969;
 ; ; ;Urtico-Aegopodietum (Tx. 1963) Görs 1968 nom. invers. propos.;
 ; ; ;Anthrisco nitidae-Aegopodietum podagrariae Kopecký 1974;
 ; ; ;Euphorbietum strictae (Oberd. et al. 1967) Th. Müller ex Mucina 1993;
 ; ; ;Sisymbrietum strictissimi Brandes in Mucina et al. 1993;
 ; ;Galio-Alliarion (Oberd. 1957) Lohmeyer et Oberd. in Oberd. et al. 1967;;
 ; ; ;Sambucetum ebuli Felföldy 1942;
 ; ; ;Urtico-Cruciatetum Dierschke 1973;
 ; ; ;Cephalarietum pilosi Jouanne 1927;
 ; ; ;Alliario-Chaerophylletum temuli Lohmeyer 1949;
 ; ; ;Chaerophyllo-Geranietum lucidi Oberdorfer 1957;
 ; ; ;Alliario-Cynoglossetum germanici Géhu, Richard et Tx. 1972;
 ; ; ;Torilidetum japonicae Lohmeyer ex Görs et Th. Müller 1969;
 ; ; ;Epilobio-Geranietum robertiani Lohmeyer ex Görs et Th. Müller 1969;
 ; ; ;Urtico-Parietarietum officinalis Klotz 1985;
 ; ;Rumicion alpini Rübel ex Klika in Klika et Hadac 1944;;
 ; ; ;Rumicetum alpini Beger 1922;
 ; ; ;Peucedanetum ostruthii Rübel 1911;
 ; ; ;Senecionetum alpini Bolleter 1921;
Artemisietea vulgaris Lohmeyer et al. in Tx. 1950;;;;
 ;Onopordetalia acanthii Br.-Bl. et Tx. ex Klika et Hadac 1944;;;
 ; ;Onopordion acanthii Br.-Bl. in Br.-Bl. et al. 1936;;
 ; ; ;Onopordetum acanthii Br.-Bl. in Br.-Bl. et al. 1936;
 ; ; ;Resedo-Carduetum nutantis Sissingh 1950;
 ; ; ;Cirsietum eriophori Oberd. ex Th. Müller 1966;
 ; ; ;Lappulo squarroso-Cynoglossetum officinalis Klika 1935 nom. mut. propos.;
 ; ; ;Stachyo germanicae-Carduetum acanthoidis Weinert in Gutte 1966;
 ; ;Dauco-Melilotion Görs 1966;;
 ; ; ;Tanaceto-Artemisietum vulgaris Br.-Bl. 1931 corr. 1949;
 ; ; ;Berteroetum incanae Sissingh et Tideman in Sissingh 1950;
 ; ; ;Dauco-Picridetum hieracioidis Görs 1966;
 ; ; ;Echio-Melilotetum Tx. 1947;
 ; ; ;Glaucium flavum-Gesellschaft ;
 ; ;Arction lappae Tx. 1937;;
 ; ; ;Lamio albi-Ballotetum albae Lohmeyer 1970;
 ; ; ;Leonuro-Ballotetum nigrae Slavnic 1951;
 ; ; ;Urtico urentis-Chenopodietum boni-henrici Tx. 1937;
 ; ; ;Arctio-Artemisietum vulgaris Oberd. et al. ex Seybold et Th. Müller 1972;
 ; ; ;Hyoscyamo-Conietum maculati Slavnic 1951;
 ; ; ;Balloto-Malvetum sylvestris Gutte 1966;
 ; ; ;Arctio tomentosi-Rumicetum obtusifolii Passarge 1959;
 ; ; ;Cirsium arvense-Cirsium vulgare-Gesellschaft (sensu Th. Müller in Seybold et Th. Müller 1972);
 ;Agropyretalia intermedio-repentis Oberd. et al. ex Müller et Görs 1969;;;
 ; ;Convolvulo-Agropyrion repentis Görs 1966;;
 ; ; ;Diplotaxio tenuifoliae-Agropyretum repentis Philippi in Th. Müller et Görs 1969;
 ; ; ;Convolvulo arvensis-Agropyretum repentis Felföldy 1943 nom. invers. propos.;
 ; ; ;Lepidio drabae-Agropyretum repentis Th. Müller et Görs 1969;
 ; ; ;Falcario vulgaris-Agropyretum repentis Th. Müller et Görs 1969;
 ; ; ;Melico transsilvanicae-Agropyretum repentis Th. Müller in Görs 1966;
 ; ; ;Poo compressae-Anthemidetum tinctoriae (Th. Müller et Görs 1969) Oberd. 1970;
 ; ; ;Potentillo argenteae-Artemisietum absinthii Falinski 1965;
 ; ; ;Poo compressae-Tussilaginetum Tx. 1931;
 ; ; ;Petasitetum tomentosi Steffen 1931;
 ; ; ;Agropyro repentis-Rumicetum thyrsiflori Passarge 1989;
 ; ; ;Rumici thyrsiflori-Allietum schoenoprasi Passarge 1989;
 ; ; ;Asparago officinalis-Chondrilletum junceae Passarge 1978;
 ; ; ;Rubo caesii-Calamagrostietum epigeji Coste (1974) 1975;
 ; ; ;Elymo repentis-Rubetum caesii Dengler 1997;
Agrostietea stoloniferae Th. Müller et Görs in Görs 1968;;;;
 ;Agrostietalia stoloniferae Oberd. 1967;;;
 ; ;Potentillion anserinae Tx. 1947;;
 ; ; ;Ranunculo-Alopecuretum geniculati Tx. 1937 nom. conserv. propos.;
 ; ; ;Rumici crispi-Agrostietum stoloniferae Moor 1958;
 ; ; ;Agropyro-Rorippetum austriacae (Timár 1947) Tx. 1950;
 ; ; ;Potentillo-Festucetum arundinaceae Nordhagen 1940;
 ; ; ;Junco inflexi-Menthetum longifoliae Lohmeyer 1953;
 ; ; ;Potentillo-Menthetum suaveolentis Oberd. 1957;
 ; ; ;Junco compressi-Trifolietum repentis Eggler 1933;
 ; ; ;Myosuro-Ranunculetum sardoi (Diemont, Sissingh et Westhoff 1940) Oberd. 1957;
 ; ; ;Potentillo-Deschampsietum mediae Oberd. 1957;
 ; ; ;Trifolio fragiferi-Agrostietum stoloniferae Sykora 1982 nom. invers. propos.;
 ; ; ;Holoschoenetum Br.-Bl. 1931  [-];
Polygono-Poetea annuae Rivas-Martinez 1975;;;;
 ;Polygono arenastri-Poetalia annuae Tx. in Géhu et al. 1972;;;
 ; ;Matricario discoideae-Polygonion arenastri Rivas-Martinez 1965 corr. Rivas-Martinez et al. 1991;;
 ; ; ;Sclerochloo-Polygonetum arenastri (Gams 1927) Soó ex Korneck 1969;
 ; ; ;Matricario-Polygonetum arenastri Th. Müller in Oberd. 1971;
 ; ; ;Polygonetum calcati Lohmeyer 1975;
 ; ; ;Poo-Coronopodetum squamati Gutte 1966;
 ; ; ;Sagino procumbentis-Bryetum argentei Diemont et al. 1940;
 ; ; ;Rumici-Spergularietum rubrae Hülbusch 1973;
Isoëto-Nanojuncetea Br.-Bl. et Tx. 1943 ex Westhoff, Dijk et Paschier 1946;;;;
 ; ; ;Juncus bufonius-Gesellschaft ;
 ; ; ;Elatine hexandra-Gesellschaft ;
 ; ; ;Juncus capitatus-Gesellschaft ;
 ; ; ;Centaurium pulchellum-Gesellschaft ;
 ;Nanocyperetalia Klika 1935;;;
 ; ; ;Peplis portula-Gesellschaft ;
 ; ;Elatino-Eleocharition ovatae Pietsch et Müller-Stoll 1968;;
 ; ; ;Polygono-Eleocharitetum ovatae Eggler 1933 nom. mut. propos.;
 ; ; ;Eleocharito acicularis-Limoselletum aquaticae Wendelberger-Zelinka 1952;
 ; ; ;Elatino alsinastri-Juncetum tenageiae Libbert 1932;
 ; ; ;Elatine triandra-Elatine hydropiper-Gesellschaft ;
 ; ; ;Cyperus fuscus-Gesellschaft ;
 ; ;Radiolion linoidis (Rivas-Goday 1961) Pietsch 1973;;
 ; ; ;Cicendietum filiformis Allorge 1922;
 ; ; ; ;Cicendietum filiformis juncetosum pygmaei 
 ; ; ; ;Cicendietum filiformis centaurietosum littoralis 
 ; ; ;Digitario-Illecebretum verticillati Diemont, Sissingh et Westhoff 1940;
 ; ; ;Junco bufonii-Gypsophiletum muralis (Ambroz 1939) Pietsch 1995;
 ; ; ;Centunculo-Anthocerotetum punctati Koch ex Libbert 1932;
 ; ; ;Stellario uliginosae-Isolepidetum setaceae Libbert 1932;
 ; ; ;Cyperetum flavescentis W. Koch 1926 em. Aichinger 1933;
 ; ; ;Isolepis setacea-Gesellschaft ;
 ; ; ;Veronico anagalloides-Lythretum hyssopifoliae Wagner ex Holzner 1973;
 ; ; ;Erythraeo-Blackstonietum Oberd. 1957;
Potamogetonetea Klika in Novák et Klika 1941;;;;
 ;Potamogetonetalia W. Koch 1926;;;
 ; ;Ranunculion fluitantis Neuhäusl 1959;;
